DIRECCION_COMPLETA,CLASE_VIAL,NOMBRE_VIAL,NUMERO,DISTRITO,UTMX,UTMY,Horario,Direccion
PlazadelosNavarros_EntreCalleAlbaresdelaRiberayCalleAlbercadeZancara,Plaza,de los Navarros,,CARABANCHEL,436998.09,4469561.33,MIÉRCOLES_MAÑANA_8:45_10:15,"Plaza de los Navarros, "
PaseoAlbertoPalacios_76,Paseo,Alberto Palacios,76,VILLAVERDE,439229.76,4466149.51,MIÉRCOLES_MAÑANA_8:45_10:15,"Paseo Alberto Palacios, 76"
CalleGodella_Detrasdelnumero100_enlaplazafrenteal116,Calle,Godella,,VILLAVERDE,441525.68,4465807.01,MIÉRCOLES_MAÑANA_10:30_12:00,"Calle Godella, "
CalleIllescas_117,Calle,Illescas,117,LATINA,435391.82,4471712.37,MIÉRCOLES_MAÑANA_10:30_12:00,"Calle Illescas, 117"
CalleLopedeHaro_36,Calle,Lope de Haro,36,TETUAN,440251.84,4478691.42,MIÉRCOLES_MAÑANA_10:30_12:00,"Calle Lope de Haro, 36"
CalleToboso_134,Calle,Toboso,134,CARABANCHEL,437480.77,4471691.97,MIÉRCOLES_MAÑANA_10:30_12:00,"Calle Toboso, 134"
CalleAntonioLopez_88,Calle,Antonio López,88,CARABANCHEL,439936.82,4471709.68,MIÉRCOLES_MAÑANA_12:15_13:45,"Calle Antonio López, 88"
CalleBerrocal_14,Calle,Berrocal,14,VILLAVERDE,442442.55,4466535.77,MIÉRCOLES_MAÑANA_12:15_13:45,"Calle Berrocal, 14"
CalleCardanio_8EnlaPlazaPatricioMartinez,Calle,Cardaño,8,LATINA,434616.7,4472057.03,MIÉRCOLES_MAÑANA_12:15_13:45,"Calle Cardaño, 8"
CalleMarquesdeUrquijo_2,Calle,Marqués de Urquijo,2,MONCLOA-ARAVACA,439212.03,4475798.68,MIÉRCOLES_MAÑANA_12:15_13:45,"Calle Marqués de Urquijo, 2"
CalleCasalarreina_3InterseccionconPlazadelaVicalvarada,Calle,Casalarreina,3,VICALVARO,448194.6,4473379.15,MIÉRCOLES_TARDE_14:00_15:30,"Calle Casalarreina, 3"
CalleCiudadania_6,Calle,Ciudadania,6,VILLAVERDE,441214.79,4467553.92,MIÉRCOLES_TARDE_14:00_15:30,"Calle Ciudadania, 6"
CalleFrancosRodriguez_102,Calle,Francos Rodríguez,102,MONCLOA-ARAVACA,439565.13,4478826.55,MIÉRCOLES_TARDE_14:00_15:30,"Calle Francos Rodríguez, 102"
CalleNuria_59EnfrentedelCentroComercial,Calle,Nuria,59,FUENCARRAL,440009.17,4482762.54,MIÉRCOLES_TARDE_14:00_15:30,"Calle Nuria, 59"
CalleSanBraulio_EnlaaceradelMercadoMunicipaldeSanIsidro_frentealnumero3,Calle,San Braulio,,CARABANCHEL,438469.3,4471471.06,MIÉRCOLES_TARDE_14:00_15:30,"Calle San Braulio, "
CalleTembleque_64,Calle,Tembleque,64,LATINA,435476.34,4471898.29,MIÉRCOLES_TARDE_14:00_15:30,"Calle Tembleque, 64"
CalleAlhambra_Aceradeenfrentealnumero30,Calle,Alhambra,,LATINA,436815.31,4472519.63,MIÉRCOLES_TARDE_15:45_17:15,"Calle Alhambra, "
AvenidaMonasteriodeSilos_85,Avenida,Monasterio de Silos,85,FUENCARRAL,441374.21,4484571.09,MIÉRCOLES_TARDE_15:45_17:15,"Avenida Monasterio de Silos, 85"
