Identifier,Description,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address
196061,SITUADO-APARCABICICLETAS-PUENTE-DE-SAN-FERNANDO,196061,9,Moncloa-Aravaca,93,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,OPERATIVO,"CARRETERA EL PARDO,19,19"
201810,SITUADO-APARCABICICLETAS-ESTACION-CERCANIAS-EL-BARRIAL,201810,9,Moncloa-Aravaca,96,El Plantío,https://wikidata.org/entity/Q3773742,OPERATIVO,"CALLE RAFAEL BOTI,64,64"
205202,SITUADO-APARCABICICLETAS-INSTALACION-DEPORTIVA-VEREDA-DE-GANAPANES,205202,8,Fuencarral-El Pardo,84,El Pilar,https://wikidata.org/entity/Q3773964,OPERATIVO,"CALLE BECERREA,4,4"
205468,SITUADO-APARCABICICLETAS-CENTRO-EDUCACION-PRIMARIA-GUATEMALA,205468,8,Fuencarral-El Pardo,84,El Pilar,https://wikidata.org/entity/Q3773964,OPERATIVO,"CALLE CELANOVA,2,2"
205615,SITUADO-APARCABICICLETAS-INSTALACION-DEPORTIVA-LA-CABRERA,205615,8,Fuencarral-El Pardo,83,Peñagrande,https://wikidata.org/entity/Q3319582,OPERATIVO,"CALLE LA CABRERA,33,33"
205792,SITUADO-APARCABICICLETAS-C.P-FEDERICO-GARCIA-LORCA,205792,8,Fuencarral-El Pardo,84,El Pilar,https://wikidata.org/entity/Q3773964,OPERATIVO,"CALLE RIBADAVIA,20,20"
207288,SITUADO-APARCABICICLETAS-I.E.S-GREGORIO-MARAÑON,207288,8,Fuencarral-El Pardo,84,El Pilar,https://wikidata.org/entity/Q3773964,OPERATIVO,"AVENIDA EL FERROL,43,43"
207342,SITUADO-APARCABICICLETAS-CUATRO-TORRES-BUSINESS-AREA,207342,8,Fuencarral-El Pardo,85,La Paz,https://wikidata.org/entity/Q5869740,OPERATIVO,"Sinesio Delgado Street,2"
207485,SITUADO-APARCABICICLETAS-C.P-LUIS-DE-GONGORA,207485,8,Fuencarral-El Pardo,84,El Pilar,https://wikidata.org/entity/Q3773964,OPERATIVO,"CALLE SARRIA,49,49"
208440,SITUADO-APARCABICICLETAS-C.P.-BREOGAN,208440,8,Fuencarral-El Pardo,85,La Paz,https://wikidata.org/entity/Q5869740,OPERATIVO,"Calle de Ginzo de Limia,2"
209788,SITUADO-APARCABICICLETAS-INST.-DEPORTIVA-BASICA-ISLA-DE-TABARCA,209788,8,Fuencarral-El Pardo,83,Peñagrande,https://wikidata.org/entity/Q3319582,OPERATIVO,"CALLE SANTIAGO DE COMPOSTELA,104,104"
211592,SITUADO-APARCABICICLETAS-PARQUE-DEL-POBLADO-SAN-FRANCISCO,211592,8,Fuencarral-El Pardo,82,Fuentelarreina,https://wikidata.org/entity/Q10286156,OPERATIVO,"CALLE FRESNEDILLAS,,"
211608,SITUADO-APARCABICICLETAS-POLIDEPORTIVO-VICENTE-DEL-BOSQUE,211608,8,Fuencarral-El Pardo,85,La Paz,https://wikidata.org/entity/Q5869740,OPERATIVO,"Avenida de Monforte de Lemos, Madrid,13"
212414,SITUADO-APARCABICICLETAS-IES-PRINCIPE-FELIPE,212414,8,Fuencarral-El Pardo,85,La Paz,https://wikidata.org/entity/Q5869740,OPERATIVO,"Avenida de Monforte de Lemos, Madrid,28"
